price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,year_sold,month_sold
221900.0,3.0,1.0,1180.0,5650.0,1.0,No,No,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,2014,10
538000.0,3.0,2.25,2570.0,7242.0,2.0,No,No,3,7,2170,400,1951,1991,98125,47.721,-122.319,1690,7639,2014,12
180000.0,2.0,1.0,770.0,10000.0,1.0,No,No,3,6,770,0,1933,0,98028,47.7379,-122.233,2720,8062,2015,2
604000.0,4.0,3.0,1960.0,5000.0,1.0,No,No,5,7,1050,910,1965,0,98136,47.5208,-122.393,1360,5000,2014,12
510000.0,3.0,2.0,1680.0,8080.0,1.0,No,No,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503,2015,2
1225000.0,4.0,4.5,5420.0,101930.0,1.0,No,No,3,11,3890,1530,2001,0,98053,47.6561,-122.005,4760,101930,2014,5
257500.0,3.0,2.25,1715.0,6819.0,2.0,No,No,3,7,1715,0,1995,0,98003,47.3097,-122.327,2238,6819,2014,6
291850.0,3.0,1.5,1060.0,9711.0,1.0,No,No,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711,2015,1
229500.0,3.0,1.0,1780.0,7470.0,1.0,No,No,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113,2015,4
323000.0,3.0,2.5,1890.0,6560.0,2.0,No,No,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570,2015,3
662500.0,3.0,2.5,1920.0,9796.0,1.0,No,No,3,8,1860,1700,1965,0,98007,47.6007,-122.145,2210,8925,2015,4
468000.0,2.0,1.0,1160.0,6000.0,1.0,No,No,4,7,860,300,1942,0,98115,47.69,-122.292,1330,6000,2014,5
310000.0,3.0,1.0,1920.0,19901.0,1.5,No,No,4,7,1430,0,1927,0,98028,47.7558,-122.229,1780,12697,2014,5
400000.0,3.0,1.75,1370.0,9680.0,1.0,No,No,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208,2014,10
